iter	Passed	Remaining
0	158	158690
1	161	80770
2	164	54636
3	166	41386
4	167	33413
5	169	28100
6	172	24458
7	175	21757
8	178	19609
9	180	17824
10	181	16343
11	183	15097
12	185	14101
13	188	13285
14	191	12553
15	193	11874
16	194	11259
17	196	10710
18	198	10228
19	200	9845
20	203	9465
21	205	9127
22	207	8799
23	208	8497
24	210	8212
25	213	7988
26	215	7781
27	218	7577
28	220	7376
29	222	7179
30	223	6992
31	225	6817
32	228	6688
33	230	6543
34	232	6402
35	234	6268
36	235	6136
37	237	6009
38	239	5908
39	242	5821
40	244	5720
41	246	5621
42	248	5533
43	250	5437
44	251	5346
45	255	5290
46	257	5224
47	259	5144
48	261	5070
49	262	4994
50	264	4922
51	267	4870
52	269	4816
53	272	4766
54	273	4706
55	275	4645
56	277	4586
57	279	4534
58	282	4499
59	284	4459
60	286	4407
61	288	4359
62	289	4310
63	291	4264
64	294	4233
65	297	4203
66	299	4173
67	301	4136
68	303	4097
69	305	4055
70	307	4029
71	310	4005
72	313	3979
73	315	3944
74	317	3910
75	318	3875
76	321	3849
77	323	3825
78	325	3796
79	327	3763
80	329	3732
81	331	3706
82	331	3667
83	334	3644
84	339	3651
85	341	3628
86	343	3602
87	345	3579
88	347	3552
89	349	3536
90	351	3512
91	353	3487
92	355	3464
93	356	3439
94	358	3419
95	361	3401
96	364	3390
97	366	3375
98	368	3352
99	370	3331
100	371	3309
101	374	3295
102	379	3300
103	382	3292
104	384	3273
105	386	3255
106	391	3265
107	395	3263
108	397	3251
109	400	3240
110	402	3225
111	409	3242
112	413	3246
113	415	3231
114	417	3214
115	422	3223
116	426	3219
117	428	3206
118	431	3191
119	432	3174
120	436	3172
121	438	3153
122	440	3142
123	442	3127
124	444	3110
125	446	3097
126	447	3079
127	450	3070
128	454	3065
129	456	3051
130	458	3038
131	460	3027
132	462	3012
133	471	3049
134	473	3036
135	475	3023
136	477	3009
137	479	2996
138	481	2985
139	483	2972
140	486	2961
141	487	2943
142	488	2929
143	490	2915
144	493	2910
145	495	2899
146	497	2886
147	499	2873
148	500	2860
149	502	2848
150	504	2835
151	507	2830
152	510	2826
153	512	2815
154	514	2804
155	516	2792
156	517	2780
157	519	2768
158	522	2763
159	524	2754
160	525	2739
161	527	2727
